,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
46297|E2F6,0.000000000000000002316346505367165412676846423321044780375531399299238609606589036135977295092637957190115604100503016269445134789588028994082752692396938171243644071515928183156775002670859078888491626599398506450484,Homo sapiens,E2F6,tf,K562,Erythroblast,Bone Marrow,1,E2F6
49730|ASCL1,0.0000000000000000033996915588841512776430099549892639400276201711931835653852204399832913861821383471169805411224391563699784227531864906501751203066920628127018752402831616532584827795552442001288954467691738617160746,Homo sapiens,ASCL1,tf,HCC4018,Epithelium,Lung,1,ASCL1
33459|ERG,0.0000000000000000054571786279526870616284952450697032555243087873218406086699944084441803448842116460544830277204288994132458731622316098282583934342382540202767848133599416852727864294588776307741323860233728839654537,Homo sapiens,ERG,other,None,Hematopoietic Cell,None,1,ERG
45632|BHLHE40,0.0000000000000000054763326386065352384632235462013362313675483039219282204556370497728445972144107405784001144825687583899798163526790080711403619885974224509828982077162755840182797973955791925099575299659686187913233,Homo sapiens,BHLHE40,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BHLHE40
64555|IKZF2,0.0000000000000000066551103389082873399666280309419092777261691067322280414312818975464983026999647643711349671365493530840843682369290934334996633955739697922063560221511925417386535390719278145061353953302860724599321,Homo sapiens,IKZF2,tf,HEK293,Epithelium,Embryonic Kidney,1,IKZF2
50713|GTF2I,0.0000000000000000068448578789514868132969772186472596021838439051277086880231669684260868370410439300461689608279753650373412045139067412487327748830662191023887460272770396211845247200939630186424926579458797616478928,Homo sapiens,GTF2I,tf,None,Fibroblast,None,1,GTF2I
56819|TFAP2A,0.000000000000000019911849244854703061379488191476791146409605113035839592988300846913498720600802131085656485142801790780092428319673193492039479769190381039847231971414338621361147818819850145722841524057079687294245,Homo sapiens,TFAP2A,predicted transcription factor,None,Neural crest cell,Cranial,1,TFAP2A
64621|NRF1,0.000000000000000025989779273582235912352049334929178913542914290841377231866056533094221687176117689696921192261254031943261782614618609523101727496327056153661030228907246635806000401637582398377852661204999837987703,Homo sapiens,NRF1,tf,K562,Erythroblast,Bone Marrow,1,NRF1
46248|USF1,0.000000000000000031015219153193016702889950168859576037493703597255483976613444708682209914748647750364136886580773600213920363490203939248843927844243973299875172472217395051925692856145848442384313246684250694809501,Homo sapiens,USF1,tf,HepG2,Epithelium,Liver,1,USF1
63772|NR2F6,0.000000000000000033298661426105379248524946477562378622663329766014033273541031063907594612631451866647909183544700779920829128828115832709552643276439671081228388717699213435712823525388604895297158814374358564627118,Homo sapiens,NR2F6,tf,HepG2,Epithelium,Liver,1,NR2F6
74655|USF2,0.000000000000000037008311894090761998692452713322610189751910152449530022558688399804996523325010809761511195618032154282086973720838171930818041880228943086537407992176448971259253841587863424589222853738189650665404,Homo sapiens,USF2,tf,HepG2,Epithelium,Liver,1,USF2
