,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
46057|SIN3A,0.9999035365627322,Homo sapiens,SIN3A,tf,A549,Epithelium,Lung,1,SIN3A
39911|OGT,0.999911632406943,Homo sapiens,OGT,other,HEK293T,Epithelium,Embryonic Kidney,1,OGT
63870|KLF1,0.9999145338434663,Homo sapiens,KLF1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,KLF1
1222|TRRAP,0.9999209342356904,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1,TRRAP
49951|KLF9,0.9999309183117449,Homo sapiens,KLF9,tf,GBM1B,Glioblastoma Stem Cell,None,1,KLF9
51839|MRE11A,0.9999349658784813,Homo sapiens,MRE11A,not sure,LNCaP,Epithelium,Prostate,1,MRE11A
35528|BCOR,0.9999368332358918,Homo sapiens,BCOR,both predicted transcription factor and chromatin regulator,OCI-Ly1,B cell lymphoma,Bone Marrow,1,BCOR
64106|KDM4B,0.9999398767242924,Homo sapiens,KDM4B,cr,K562,Erythroblast,Bone Marrow,1,KDM4B
74573|SPIN1,0.9999430756000833,Homo sapiens,SPIN1,other,T778,None,None,1,SPIN1
45886|NRF1,0.9999473505082475,Homo sapiens,NRF1,tf,K562,Erythroblast,Bone Marrow,1,NRF1
77457|SON,0.9999479770740846,Homo sapiens,SON,,K562,Leukemia,None,1,SON
38666|ZBTB7B,0.9999510694096915,Homo sapiens,ZBTB7B,tf,LoVo,None,Colon,1,ZBTB7B
63555|MIER1,0.9999532778233755,Homo sapiens,MIER1,,K562,Erythroblast,Bone Marrow,1,MIER1
43451|NELFA,0.9999556391103028,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,0,NELFA
77037|ZNF786,0.9999626002735058,Homo sapiens,ZNF786,tf,293T,None,None,1,ZNF786
65166|ZNF322,0.9999638530754482,Homo sapiens,ZNF322,,HEK293,Epithelium,Embryonic Kidney,1,ZNF322
62525|ZNF2,0.999966348043108,Homo sapiens,ZNF2,,HEK293,Epithelium,Embryonic Kidney,1,ZNF2
38731|TFDP1,0.9999680240134,Homo sapiens,TFDP1,tf,LoVo,None,Colon,1,TFDP1
4930|TAFII,0.9999706001423976,Homo sapiens,TAFII,not sure,H1,Embryonic Stem Cell,Embryo,0,TAFII
72878|MYF5,0.9999804052580294,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
72857|TRAF7,0.9999841220222274,Homo sapiens,TRAF7,other,None,None,meningioma,1,TRAF7
63538|ZNF692,0.9999860303950979,Homo sapiens,ZNF692,,HEK293,Epithelium,Embryonic Kidney,1,ZNF692
63098|SMAD5,0.9999903296328501,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
77098|ZNF534,0.9999905480467437,Homo sapiens,ZNF534,tf,293T,None,None,1,ZNF534
65062|ZNF467,0.9999906705282411,Homo sapiens,ZNF467,,HEK293,Epithelium,Embryonic Kidney,1,ZNF467
62716|TFAP4,0.9999906738381372,Homo sapiens,TFAP4,,HepG2,Epithelium,Liver,1,TFAP4
65071|KLF12,0.9999913917591123,Homo sapiens,KLF12,,HEK293,Epithelium,Embryonic Kidney,1,KLF12
62666|HLTF,0.9999924885541904,Homo sapiens,HLTF,,K562,Erythroblast,Bone Marrow,1,HLTF
65164|ZNF770,0.9999928156838342,Homo sapiens,ZNF770,,HEK293,Epithelium,Embryonic Kidney,1,ZNF770
